LCTL
C1QL2
LEMD1
BPI
MPZ
GFRA3
PCDH8
SFRS13B
C9orf170
RASGEF1C
SHISA3
OCA2
CLDN10
KCNS1
HTR3A
LOC121838
NCRNA00162
TMPRSS5
POU5F1
POU4F1
DMBT1
KBTBD12
MATN4
VGLL1
B3GNT5
LOC285629
IL22RA2
FAM19A3
CHODL
TTLL4
EN1
TRPM8
PHKG1
IGF2BP3
SLC6A2
SLC15A1
FAM171A1
LOC100124692
C8orf46
LOC84740
SLC43A3
ART3
NCRNA00092
HORMAD1
TTYH1
ACAN
CYP27C1
HAPLN3
B3GNT7
KCNE1L
SLC22A16
ALOX12
FOXC1
COL11A2
FZD9
YBX1
UGT8
KCNQ4
CENPW
IFRD1
STAC
IGF2BP2
SLC28A1
C5orf27
FTCD
ANKRD45
TMEM74
LPIN1
CLCN4
ROPN1
ROPN1B
UGT2B7
PDIA2
C1orf61
LANCL3
GPR77
FLJ35024
TBX19
SLCO5A1
RAET1L
FAM123B
CLEC2L
MSL3
MFGE8
FAM3D
CXCL5
LOC284578
PPP1R14C
RGS20
CDK2AP1
PDSS1
CCDC129
SH3GL3
UBASH3B
DSC2
LOC100127888
TNIP3
ATP6V1C2
C6orf97
ARL9
WNT6
COL9A3
PADI2
HILS1
SFT2D2
C4orf7
CTSL2
FMO3
VNN1
SLCO1A2
MGC2889
LOC158376
C7orf61
GPR12
TBC1D9
COL9A1
MICALL1
BCL2A1
C6orf218
ESYT3
TMSB15A
C10orf90
ULBP3
ST3GAL6
RASD2
FBN3
GATA3
ETV3L
NRTN
SUV39H2
NRG4
HRCT1
ESR1
MFI2
RBM17
RSU1
AMY1A
SLC6A15
LCT
PRKX
TMEM171
C16orf57
CHRM3
PAPSS1
RABEP1
PTCHD1
RGMA
STX19
EMID2
THSD4
CDC123
SLC26A9
TIGD2
KIAA1045
MTHFD1L
FSCN1
KRT79
KIAA0020
KCMF1
CHST2
RPS2P32
NCK2
C2orf82
UBXN2A
IL1R2
FOXL1
MMP7
LOXL4
PSAT1
CCDC67
CPA4
SLC26A7
ACSBG1
GPR156
ATL2
PAK1IP1
DCHS2
USP6NL
KHDRBS3
EDAR
ISL2
TMEFF1
PLOD1
PDE9A
YEATS2
CDKN2A
PHGDH
MALL
TMSB15B
BARX1
LYPD5
ZNF552
MPP6
LIPG
TMCC2
FLJ36031
C9orf30
SCHIP1
TAF7L
BAIAP2L2
HMGA1
SRPK1
LMO4
SOX8
ST8SIA1
LOC100132215
UCHL1
USH1C
CDCA2
FAM136A
CRYAB
ARSG
MEMO1
C6orf211
GPR55
RPIA
GABRP
DEK
MRAS
NPM2
SLC39A6
PDE7A
KDM4B
TTC7A
STK38
ABAT
CAPN6
PRTFDC1
AKR1E2
CTSE
ACADSB
LDHB
SPHKAP
BCL11A
NT5DC2
SLC16A10
KCNG1
KCNN4
SOX6
UGP2
C6orf115
STAG3
EGFR
MT1H
E2F3
GTPBP4
IL34
C11orf75
DEFB1
HMGA2
SRD5A1
UCK2
EPHX3
CCNE1
ANP32E
PRR4
ANKLE1
CCDC82
CDKAL1
C1QL4
RIOK1
L3MBTL4
PRG2
IL1A
CSTB
ZNF454
MCF2L2
XBP1
EVL
NCAPD2
MDGA2
IL12RB2
CENPA
CA12
FMNL2
UQCRHL
PTX3
KRT16
PAX6
CELSR1
KIAA1609
PRR18
LYN
PI3
PDHA1
ENO1
ANKRA2
S100A2
GLIPR2
FOSL1
C10orf32
DNAL1
NASP
WNT10A
BTG3
NDUFAF4
MAP2
DSG1
KCNMB2
FBXW10
LYPD1
PLCG2
PNMA3
ZNF695
CXXC5
UQCRH
TTC8
APBB2
NCOA7
SEPHS1
HEPHL1
CDC20
LBR
OPRK1
MSN
C9orf40
PALM2
FSD1
CT62
SLC22A20
PGBD5
KRT83
SLPI
SLC22A5
ZIC4
RNASEH1
SKP2
JOSD1
AADAT
CDK6
PELI1
STMN1
TLE3
C1orf186
TSPAN33
HOXA11AS
SPIB
LOC286467
PDXK
PSME4
ADCY9
CDH3
SYTL4
CSRP2
GPN1
CRLF1
CALB2
NCS1
OTX1
TEX10
FERMT1
P4HTM
SUSD3
IFNAR2
ZMYND10
NUP93
NAT1
WDR19
SLC5A6
RAP2B
APBA2
C20orf26
NOP2
EML4
WFS1
AKR1B15
LGR5
IRAK1
NUDT5
DDN
CCL20
CNGA1
KLK6
SEC14L4
ZSWIM4
ECE2
SERPINB7
FLJ45983
PSMB2
PPP1CB
MYO10
GPR161
IDO1
ACTR3B
PLA2G4A
PRSS12
UGT1A6
ANKS6
NT5C2
SOX11
TRIM2
SLC2A12
CRHR1
RUNDC1
SNX32
ELF5
TCF7L1
CDCA8
GLS
CCDC77
ITM2C
C10orf110
LOC84856
GSDMC
BBS1
FABP7
SMTNL2
KLK5
CXCL6
CTPS
SOX30
SIX3
H2BFXP
SERBP1
C13orf27
DACH1
SCUBE2
CDCA7
MAMLD1
RGS22
TMEM158
MRPL2
COTL1
DPF3
CYP2A7
PCBD2
S100B
BAG2
NUDT12
BBS4
C9orf116
VSNL1
ILF2
TGFA
CLCN5
LYAR
PLEKHG1
NOTUM
KLK8
HDAC2
MAP3K12
WARS
GTPBP8
JRKL
RBM38
GTSF1
MCCC1
SLC7A8
TUBB
DNALI1
LRRC8D
PPPDE1
ACTL8
ZNF280B
PVR
NFE2L3
KIAA1804
PIM1
MCART6
POLR3G
SKP1
ANKRD1
CHIC2
CLDN1
RBM28
QRFPR
RCOR2
MYO1H
MAGOH
FOXQ1
TMEM123
AMD1
GRM6
FAF1
PARD6B
ZBTB8B
FANCE
GPR3
PTPN2
CPEB2
GIN1
KCNK5
C1orf198
FAM134B
CCDC125
FSIP1
ODC1
TFDP1
DKC1
APH1B
FOXC2
ARNTL2
LRP8
PM20D2
C3orf55
TP53BP2
IMPA2
LOC285548
C1orf130
MAGED2
PFKP
UTP11L
TCAM1P
ZDHHC18
CSDAP1
GREB1
AGR3
CNKSR2
TMEM71
GJB3
CASC1
CTCFL
PDIA6
LOC339674
MEX3A
TTLL2
FAM114A2
SOX10
HOXD13
C14orf45
PREX1
IL1F5
ACSL6
HSPA14
RRP1B
CDC42EP1
CCDC103
PSMG1
RHBDL2
CSDA
MYOM2
GMPS
KIAA1467
DNAJC12
PDCD5
TNNT2
NLRP7
IFT140
TTK
C7orf63
RANBP1
SPEF2
RASSF4
FBP1
MTMR2
RASGEF1B
TBC1D1
MAPT
ARHGEF9
WWP1
POLR1E
ABCC2
MGC3771
MLPH
CEBPB
FGFBP2
SLC25A33
C14orf174
SIRPA
RARRES1
DEGS2
TAF4B
NOTCH1
SLC36A4
ACOT9
GLT25D1
KCTD6
KIAA0141
GPRC5B
DNAJC2
UPP1
COMMD2
KLHDC3
FBXL5
TMEM217
GAL
PTPLA
MIA
KARS
CHEK1
KLHDC1
CCNY
CACNA2D2
MGC87042
RNF8
KIAA0232
COQ7
MKL2
FLJ46111
C2CD4D
TCEAL1
DYNLRB2
FAM107A
FGD3
C9orf98
RRAGD
LRTOMT
FOXM1
CYB5R2
EPHB3
PROL1
ASNS
MYLK4
MID1
SOD2
FAM98A
DAPK1
THEM5
TNFRSF21
UBE2E3
MFSD2B
GPC2
C11orf93
ACE2
GPM6B
DAZAP2
RALGPS2
RAP2A
ATP11A
HEXIM1
NFIB
PIF1
RIPK2
SLC25A37
EXOC6
SF3B14
CENPN
ULBP2
TPRG1
PDK1
LRRC46
AGTR1
CMTM7
RHOB
NXN
RNF145
KCNK12
SEMA3F
NDC80
KCNJ11
CDH19
PPARA
FAM64A
NUDT11
MRPS5
TRIM23
DZIP1
LOC100302401
CPNE2
CHI3L1
CST5
LMX1B
NMU
DMRT3
KLHDC2
CDC25A
PPARGC1A
YES1
HPDL
FAM133A
FAM198B
MOBKL2B
TMEM201
SYBU
SPEF1
CXCL1
NEK9
TAF5
ADORA2B
FAM63A
AQP4
CHI3L2
LAMP3
KIR2DL4
MAL
BNC1
CCDC96
SEPSECS
DLX5
C2orf88
TRDMT1
MPZL2
FAM78B
FBXO18
UPF3B
CHST3
FAM47E
TIGD6
PCP2
OLFM2
CIRBP
XPO5
TRIM47
ADD2
TPSG1
LANCL2
KIAA1370
GDF5
SEL1L3
LIMK1
TLX1
LRRC48
CHRNA7
CHRD
MCM5
ADAMTS15
SCRG1
KLK7
AFF3
TMEM25
NPR3
TIAM2
SLC6A17
MCM7
EZH2
OGFRL1
C6orf123
GCNT2
SLC35F2
ANXA9
EPHB1
TUBB6
ATP6AP1L
GCNT3
KIAA1407
KCNE4
PRKD3
SF3A3
AURKB
LCN2
DOK5
SPATA4
DONSON
DGCR5
WIPF3
KRT37
POP1
RAD54L
ZNF396
A2ML1
CHAC2
SLC46A1
RASAL1
ETV6
WDR93
NIP7
PHOSPHO2
GATA6
SHC4
C10orf114
UBXN10
NOL10
C11orf41
DNMT3B
REPS2
STIL
PLOD3
TTYH3
BYSL
CA5BP
ORC1L
CYP39A1
DCDC1
SIAH2
RPP38
TBPL1
FAM131C
BBS5
WDR65
BCL2L10
LMNB2
RFC4
EXTL1
ERBB4
VPS39
SMOX
MAG
LRIG1
TAP2
SLC38A3
LOC100190939
NMT2
