"","UP/DOWN","statistic","p.value","FDRp.value","path_name"
"P-hsa04261-20","UP",2.88610277287882,0.00390211150478493,0.00509774455639034,"Adrenergic signaling in cardiomyocytes: ATP1B4"
"P-hsa04728-24","DOWN",-2.87429098588164,0.00405107824031475,0.00528867277580408,"Dopaminergic synapse: SLC6A3"
"P-hsa04064-134","DOWN",-2.87268028765476,0.00407178714873268,0.00531201160710883,"NF-kappa B signaling pathway: CCL21"
"P-hsa04066-89","UP",2.87160648883683,0.00408564633963278,0.00532638813978534,"HIF-1 signaling pathway: CDKN1A"
"P-hsa04910-20","UP",2.86999579060994,0.00410651541064979,0.00534987702109653,"Insulin signaling pathway: PKLR"
"P-hsa05216-14","DOWN",-2.86838509238305,0.00412748117183086,0.00537345917998243,"Thyroid cancer: MAPK1*"
"P-hsa04014-42","UP",2.8662374947472,0.00415558660702807,0.0054062971392404,"Ras signaling pathway: PLA2G4B"
"P-hsa04912-33","UP",2.86033160124861,0.00423377414318542,0.00550419978698257,"GnRH signaling pathway: ELK1"
"P-hsa04210-83","UP",2.85898935272621,0.00425172908669145,0.00552371451982906,"Apoptosis: TP53*"
"P-hsa03320-30","DOWN",-2.85415725804554,0.00431694013035677,0.00560455341491301,"PPAR signaling pathway: LPL"
"P-hsa04913-64","UP",2.84717756572903,0.00441273541853525,0.00572495964396413,"Ovarian steroidogenesis: PLA2G4B"
"P-hsa04218-52 53","DOWN",-2.84341926986629,0.00446511171263082,0.00578890779052898,"Cellular senescence: CDK1 CCNB3"
"P-hsa04740-37","UP",2.83805027577666,0.00454091239166598,0.00588151802877046,"Olfactory transduction: CNGB1*"
"P-hsa05150-14","DOWN",-2.83791605092442,0.00454281429834137,0.00588151802877046,"Staphylococcus aureus infection: FPR1"
"P-hsa05160-71","DOWN",-2.83375508050496,0.00460239012183252,0.00595454059900539,"Hepatitis C: MAPK8"
"P-hsa03320-61","UP",2.82677538818845,0.00470390062009773,0.00608167991957501,"PPAR signaling pathway: APOA1"
"P-hsa05031-59","DOWN",-2.82650693848397,0.00470784503846389,0.00608258766677566,"Amphetamine addiction: PPP3CA"
"P-hsa04670-14","DOWN",-2.825970039075,0.0047157428589421,0.0060885984882143,"Leukocyte transendothelial migration: SIPA1"
"P-hsa04210-63","DOWN",-2.82328554203019,0.00475541215384351,0.00613559367304706,"Apoptosis: FAS*"
"P-hsa05321-55","UP",2.81791654794056,0.00483565810507423,0.00623484165300293,"Inflammatory bowel disease (IBD): IL4*"
"P-hsa04933-12","DOWN",-2.8058363112389,0.00502070875867569,0.0064689901313706,"AGE-RAGE signaling pathway in diabetic complications: EGR1"
"P-hsa04728-36","DOWN",-2.80556786153442,0.00502489122553944,0.00646993544208099,"Dopaminergic synapse: TH"
"P-hsa04022-66","DOWN",-2.80100421655824,0.00509650466957932,0.00655764249666036,"cGMP-PKG signaling pathway: PDE3A"
"P-hsa04150-31","UP",2.79644057158206,0.00516903781428782,0.00664641188458118,"mTOR signaling pathway: EIF4E"
"P-hsa05219-10","DOWN",-2.79160847690139,0.00524685319444267,0.00674184698135236,"Bladder cancer: EGFR"
"P-hsa04915-12 14","UP",2.79107157749243,0.00525556435102566,0.00674841801678586,"Estrogen signaling pathway: ESR1 FOS"
"P-hsa04722-70","DOWN",-2.78301808635799,0.00538780885686411,0.00691349481222782,"Neurotrophin signaling pathway: ZNF274"
"P-hsa04810-21 82","UP",2.77872289108629,0.00545956109418023,0.00700077690545599,"Regulation of actin cytoskeleton: CFL1 ACTB"
"P-hsa05010-51","DOWN",-2.76905870172496,0.00562416704671879,0.00720692443964785,"Alzheimer's disease: ATF6"
