"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa04911-56","DOWN",-6.63339219773376,3.28357187275025e-11,7.604914608987e-11
"P-hsa05152-120","UP",6.62775475393966,3.41141065610305e-11,7.89125325628769e-11
"P-hsa05223-22","UP",6.62748630423517,3.41761820266826e-11,7.89587653719909e-11
"P-hsa04913-35","UP",6.61835901428281,3.63537937908104e-11,8.38864909613288e-11
"P-hsa04921-34 35","DOWN",-6.61809056457833,3.64198546765756e-11,8.39356847337296e-11
"P-hsa05031-15","UP",6.60198358230945,4.06060025103258e-11,9.33539959673665e-11
"P-hsa05031-77","UP",6.60198358230945,4.06060025103258e-11,9.33539959673665e-11
"P-hsa04670-54","UP",6.58721884856297,4.48546657705943e-11,1.02995536090129e-10
"P-hsa04666-41","DOWN",-6.58695039885849,4.49358061236616e-11,1.03055711843508e-10
"P-hsa05213-31","DOWN",-6.57648086038372,4.82147808613629e-11,1.10440694622609e-10
"P-hsa04916-15","DOWN",-6.57513861186131,4.86517335515712e-11,1.11305673344814e-10
"P-hsa04022-51","UP",6.55554178343418,5.54901150426601e-11,1.26795926699184e-10
"P-hsa04976-38","DOWN",-6.54829364141318,5.82496615319854e-11,1.32939616829689e-10
"P-hsa05161-31","DOWN",-6.54560914436837,5.93066111311475e-11,1.35187366320817e-10
"P-hsa05150-69","DOWN",-6.54050859998322,6.1365024776122e-11,1.39709692330103e-10
"P-hsa04390-5","DOWN",-6.53701875382496,6.28135062834748e-11,1.42834106409453e-10
"P-hsa04919-84","DOWN",-6.53487115618911,6.37214448049533e-11,1.44723281421419e-10
"P-hsa05152-78","DOWN",-6.53111286032637,6.53413202017651e-11,1.48222873879699e-10
"P-hsa04919-104","UP",6.53003906150845,6.58114927673967e-11,1.49109130956082e-10
"P-hsa03320-7","UP",6.5278914638726,6.67617856561652e-11,1.51079746551226e-10
"P-hsa04024-2","UP",6.52252246978297,6.91966178682037e-11,1.56401030265964e-10
"P-hsa05211-41","UP",6.52171712066953,6.95692544307206e-11,1.57054056933853e-10
"P-hsa04810-82 83","DOWN",-6.52010642244264,7.03204245208977e-11,1.58559034136063e-10
"P-hsa03320-59","DOWN",-6.51956952303368,7.05725727837927e-11,1.58936550471063e-10
"P-hsa04064-51","DOWN",-6.49889889578862,8.09822227837647e-11,1.82161450770195e-10
"P-hsa04064-94","UP",6.48091276558837,9.12505261615973e-11,2.0501315817863e-10
"P-hsa04620-77","DOWN",-6.46802717977326,9.937885348245e-11,2.23008049202244e-10
"P-hsa05152-15","UP",6.44386670636994,1.16570483866521e-10,2.61273868259969e-10
"P-hsa04022-48","UP",6.42614902587417,1.30992653702109e-10,2.93248470578945e-10
"P-hsa04024-76","UP",6.42400142823832,1.32855114499858e-10,2.97063402624236e-10
"P-hsa04666-50 52","DOWN",-6.41970623296662,1.36658003675007e-10,3.05202874874182e-10
"P-hsa05110-17","DOWN",-6.41406878917251,1.41811096328385e-10,3.16334859348455e-10
"P-hsa05161-69","UP",6.40923669449185,1.46378791377249e-10,3.26136119505605e-10
"P-hsa04066-64","DOWN",-6.40869979508289,1.46895102210775e-10,3.26898234575817e-10
"P-hsa05030-80 81","UP",6.38561312049749,1.7086190754352e-10,3.7978310254934e-10
"P-hsa04360-40 142","UP",6.38427087197508,1.72367126750628e-10,3.82675419862933e-10
"P-hsa04012-65","DOWN",-6.38024412640786,1.76960942887062e-10,3.92409844983603e-10
"P-hsa04310-14","DOWN",-6.37487513231824,1.83272518260257e-10,4.059259082128e-10
"P-hsa05161-214","UP",6.37057993704654,1.88479650160223e-10,4.16966773231814e-10
"P-hsa05205-150","DOWN",-6.37004303763757,1.89140618894773e-10,4.17936161421194e-10
"P-hsa04210-60","UP",6.36655319147932,1.93492449334983e-10,4.27049217591093e-10
"P-hsa04917-38","UP",6.35984194886728,2.02138002854944e-10,4.45606220159666e-10
"P-hsa04012-37 7","DOWN",-6.35715745182247,2.05700899768463e-10,4.52928272260137e-10
"P-hsa04014-27","UP",6.35259380684629,2.11899113495492e-10,4.66028999903333e-10
"P-hsa05140-37","DOWN",-6.34829861157459,2.17899180185292e-10,4.78663772866052e-10
"P-hsa03320-9","UP",6.34561411452977,2.21733162541436e-10,4.86516272430099e-10
"P-hsa04931-144","UP",6.34346651689392,2.24847721460721e-10,4.92773744696627e-10
"P-hsa04913-19","UP",6.32870178314745,2.47447514898931e-10,5.41670406009795e-10
"P-hsa05020-52","DOWN",-6.32682263521608,2.50478418278879e-10,5.47666098707666e-10
"P-hsa04630-31","UP",6.32386968846679,2.55314666228333e-10,5.57590586547558e-10
"P-hsa04728-54","DOWN",-6.32306433935334,2.56649393984339e-10,5.59853794319326e-10
"P-hsa04022-50","UP",6.32037984230853,2.61147889450444e-10,5.6900515750178e-10
"P-hsa04072-3","DOWN",-6.31313170028753,2.73681964204941e-10,5.95623393095671e-10
"P-hsa04530-11 20 16","UP",6.28548138072595,3.2712186418089e-10,7.11101526307474e-10
"P-hsa04922-24","DOWN",-6.28172308486322,3.35122410653849e-10,7.27650049058588e-10
"P-hsa05161-68","UP",6.27420649313774,3.51725123752573e-10,7.62816568970899e-10
"P-hsa04650-39","DOWN",-6.27286424461533,3.54771773721542e-10,7.68535620671609e-10
"P-hsa04014-33","UP",6.26588455229882,3.71034420842464e-10,8.02838031719103e-10
"P-hsa04022-65","UP",6.26561610259434,3.71674227224598e-10,8.03295910453164e-10
"P-hsa04740-39","UP",6.26346850495849,3.76831600437716e-10,8.13505273211915e-10
"P-hsa04115-24","DOWN",-6.25809951086886,3.90032606951948e-10,8.41035828323971e-10
"P-hsa04064-4","DOWN",-6.25702571205093,3.92726463879679e-10,8.45872383740847e-10
"P-hsa04151-36","UP",6.24762997239409,4.17085635366973e-10,8.97308087096836e-10
"P-hsa05218-21","DOWN",-6.2387711321462,4.41400209632894e-10,9.4744484355985e-10
"P-hsa05220-40","DOWN",-6.2387711321462,4.41400209632894e-10,9.4744484355985e-10
"P-hsa04930-3","UP",6.23769733332828,4.44439831463345e-10,9.52878998657411e-10
"P-hsa04211-42","DOWN",-6.22937539248936,4.6869981224754e-10,1.0037452600187e-09
"P-hsa04530-11 13","UP",6.22239570017284,4.90039448623873e-10,1.0482485810928e-09
"P-hsa05200-191","UP",6.21675825637873,5.07964890448563e-10,1.08535550624317e-09
"P-hsa04620-39","DOWN",-6.21085236288014,5.27430041046727e-10,1.12566411490746e-09
"P-hsa04210-59","UP",6.20199352263226,5.57999553791383e-10,1.1895535942189e-09
"P-hsa04115-37","UP",6.18534964095442,6.20177218817756e-10,1.32060438422487e-09
"P-hsa04668-138","DOWN",-6.18320204331857,6.28676891960493e-10,1.33718577020168e-09
"P-hsa04010-12","DOWN",-6.17649080070653,6.55977445481753e-10,1.39209693181422e-09
"P-hsa04360-117","DOWN",-6.17649080070653,6.55977445481753e-10,1.39209693181422e-09
"P-hsa04621-42","DOWN",-6.17192715573035,6.75198933226106e-10,1.4312691511098e-09
"P-hsa04612-18","DOWN",-6.17165870602587,6.76346561337793e-10,1.43208368969492e-09
"P-hsa05211-4","DOWN",-6.16360521489143,7.11674216678429e-10,1.50518695658256e-09
"P-hsa05142-29","DOWN",-6.15904156991525,7.32485643859828e-10,1.54745840977594e-09
"P-hsa04064-132","DOWN",-6.1582362208018,7.362193680563e-10,1.55359677668574e-09
"P-hsa04024-12","UP",6.14776668232703,7.86480155557289e-10,1.6577941256466e-09
"P-hsa04530-5 10","UP",6.1423976882374,8.13537716639831e-10,1.71290320585446e-09
"P-hsa05145-13","DOWN",-6.12843830360437,8.88207127148946e-10,1.86802306113388e-09
"P-hsa04622-21 22 23","DOWN",-6.12548535685508,9.04838370840359e-10,1.90086985856272e-09
"P-hsa05164-70","UP",6.1179687651296,9.48554788793578e-10,1.98825562433157e-09
"P-hsa05168-83","UP",6.1179687651296,9.48554788793578e-10,1.98825562433157e-09
"P-hsa05169-117","UP",6.09676123847558,1.08329881449586e-09,2.2681568928507e-09
"P-hsa05223-28","DOWN",-6.08414410236495,1.17213378493616e-09,2.4514191533336e-09
"P-hsa04370-28","UP",6.08011735679773,1.20195191369855e-09,2.51098194888472e-09
"P-hsa04742-4","DOWN",-6.07810398401412,1.21712748534543e-09,2.53985668799557e-09
"P-hsa05162-78","DOWN",-6.06427882423333,1.32657767381137e-09,2.76517746230015e-09
"P-hsa04550-9","UP",6.0532723863496,1.4205093234547e-09,2.95768644927971e-09
"P-hsa05211-45","DOWN",-6.04629269403309,1.48340196731873e-09,3.08521296085359e-09
"P-hsa04022-71","DOWN",-6.04495044551068,1.49580405405338e-09,3.10756191074656e-09
"P-hsa04919-25","DOWN",-6.03260175910454,1.61474791689e-09,3.3509591726611e-09
"P-hsa04151-5","UP",6.01810547506255,1.76616551287893e-09,3.66113425653134e-09
"P-hsa04930-8","UP",6.01166268215499,1.83782242000234e-09,3.80127327444807e-09
"P-hsa04930-10","UP",6.01166268215499,1.83782242000234e-09,3.80127327444807e-09
"P-hsa04921-43","UP",6.01058888333707,1.85003703745689e-09,3.82232321835806e-09
"P-hsa03320-53","UP",6.00334074131607,1.93458295103916e-09,3.99260463822823e-09
"P-hsa04810-31","UP",5.99206585372786,2.07363109522589e-09,4.2748702578503e-09
"P-hsa04610-17","DOWN",-5.98964980638752,2.10466968269062e-09,4.33409475820812e-09
"P-hsa04932-35","UP",5.97837491879931,2.25560297591318e-09,4.63981489343544e-09
"P-hsa04064-142","DOWN",-5.97730111998138,2.27051559068207e-09,4.66537486102909e-09
"P-hsa04064-113","DOWN",-5.9727374750052,2.33497272515635e-09,4.79256983850471e-09
"P-hsa04750-7","UP",5.96924762884694,2.38544802080076e-09,4.88548088102863e-09
"P-hsa04750-58","UP",5.96924762884694,2.38544802080076e-09,4.88548088102863e-09
"P-hsa04014-37","DOWN",-5.96575778268869,2.43701551129296e-09,4.9856500536375e-09
"P-hsa04022-23","DOWN",-5.9598518891901,2.52674101429131e-09,5.16357967626417e-09
"P-hsa04931-140","UP",5.95609359332736,2.58550566637025e-09,5.27792016334122e-09
"P-hsa05169-31","DOWN",-5.95072459923773,2.67176994351567e-09,5.44808740656022e-09
"P-hsa05210-16","UP",5.94696630337499,2.73381604747677e-09,5.56855472862803e-09
"P-hsa05200-218","UP",5.9453556051481,2.76083474239769e-09,5.61749021338186e-09
"P-hsa05161-30","DOWN",-5.94213420869433,2.81565447995867e-09,5.72282535688241e-09
"P-hsa04925-33","UP",5.94159730928537,2.82489357149328e-09,5.73538997848636e-09
"P-hsa04071-1","DOWN",-5.93381226785541,2.96222442630718e-09,6.00771137702948e-09
"P-hsa04340-49","UP",5.93273846903748,2.98166956053944e-09,6.04061781379264e-09
"P-hsa04210-58","DOWN",-5.92844327376578,3.06070052664732e-09,6.19403903774581e-09
"P-hsa04064-128","DOWN",-5.92549032701649,3.11621358420187e-09,6.29958694392534e-09
"P-hsa04062-44","DOWN",-5.91985288322238,3.22492815512359e-09,6.51234146287605e-09
"P-hsa04022-43","UP",5.91716838617756,3.2779863022316e-09,6.6123680677274e-09
"P-hsa04933-57","DOWN",-5.90965179445209,3.43111083375748e-09,6.91381731915042e-09
"P-hsa04024-7","UP",5.89273946306976,3.80153832217329e-09,7.65202348969645e-09
"P-hsa04620-48","DOWN",-5.89032341572943,3.85753738679934e-09,7.75642029757294e-09
"P-hsa05219-12","UP",5.86831053996196,4.40614567212618e-09,8.85003135000933e-09
"P-hsa04071-48","UP",5.85676720266926,4.72342651467123e-09,9.47716378772538e-09
"P-hsa05110-14","UP",5.85247200739756,4.84710928863536e-09,9.69421857727072e-09
"P-hsa05110-15","UP",5.85247200739756,4.84710928863536e-09,9.69421857727072e-09
"P-hsa05110-16","UP",5.85247200739756,4.84710928863536e-09,9.69421857727072e-09
"P-hsa04920-28","UP",5.84227091862727,5.15354904625035e-09,1.02961214172158e-08
"P-hsa05321-92","DOWN",-5.8360965754242,5.34809723783176e-09,1.0662093961926e-08
"P-hsa05321-94","DOWN",-5.8360965754242,5.34809723783176e-09,1.0662093961926e-08
"P-hsa05200-65","DOWN",-5.82240564049565,5.80531699533595e-09,1.15613319355098e-08
"P-hsa05200-205","DOWN",-5.82186874108669,5.82400106160223e-09,1.15862417726042e-08
"P-hsa04152-44","UP",5.81435214936121,6.0918012053972e-09,1.21061642598783e-08
"P-hsa05219-27","UP",5.81220455172536,6.17049059392657e-09,1.22495665123876e-08
"P-hsa04022-49","UP",5.81139920261192,6.20025328123622e-09,1.22956396993648e-08
"P-hsa04066-59","DOWN",-5.80629865822677,6.3920189182145e-09,1.2662542228691e-08
"P-hsa04064-36","DOWN",-5.80495640970437,6.44343478759963e-09,1.27509321324229e-08
"P-hsa05169-30","DOWN",-5.79072857536686,7.01377849851935e-09,1.38649614997074e-08
"P-hsa04064-131","DOWN",-5.78992322625341,7.04748990080416e-09,1.39169379514827e-08
"P-hsa04066-50","DOWN",-5.7872387292086,7.16100316889193e-09,1.41262270713368e-08
"P-hsa05210-39","UP",5.77918523807416,7.51231479639955e-09,1.48036791576109e-08
"P-hsa04668-111","DOWN",-5.76039375876046,8.3984699561367e-09,1.65325599556269e-08
"P-hsa04540-16 17","UP",5.7598568593515,8.42522657035675e-09,1.65678459601565e-08
"P-hsa05140-16","DOWN",-5.75905151023806,8.46551695068383e-09,1.6629643769092e-08
"P-hsa04010-57","DOWN",-5.75690391260221,8.5738759404294e-09,1.68073053962859e-08
"P-hsa04910-12","UP",5.75690391260221,8.5738759404294e-09,1.68073053962859e-08
"P-hsa04210-69","UP",5.7483135220588,9.02095523037022e-09,1.76652526223116e-08
"P-hsa05200-201","UP",5.74562902501399,9.16525739388058e-09,1.79291166537226e-08
"P-hsa05200-216","DOWN",-5.73703863447059,9.64226407845314e-09,1.88425910533105e-08
"P-hsa04970-32","DOWN",-5.72764289481374,1.01916230636774e-08,1.98954056893432e-08
"P-hsa04933-25","DOWN",-5.70777761668212,1.14551105988563e-08,2.23386564277072e-08
"P-hsa05221-21","DOWN",-5.69650272909391,1.22386202615939e-08,2.38417981420042e-08
"P-hsa05210-40","UP",5.69569737998046,1.22965356168992e-08,2.3929772632057e-08
"P-hsa04920-5","DOWN",-5.69301288293565,1.24915164854007e-08,2.42840258306858e-08
"P-hsa05166-33","DOWN",-5.68831501310723,1.28398669191197e-08,2.49096073839385e-08
"P-hsa05169-11","DOWN",-5.68831501310723,1.28398669191197e-08,2.49096073839385e-08
"P-hsa04024-77","DOWN",-5.68576474091465,1.30330903319045e-08,2.52583444862117e-08
"P-hsa05200-185","UP",5.67824814918918,1.36188004409808e-08,2.63662225255728e-08
"P-hsa04916-10","DOWN",-5.67663745096229,1.37475963817648e-08,2.65881348579286e-08
"P-hsa05132-55","DOWN",-5.67180535628162,1.41411243859163e-08,2.73210600906066e-08
"P-hsa04022-46","UP",5.66536256337407,1.4682887721415e-08,2.83385775363936e-08
"P-hsa04115-11 12","DOWN",-5.66455721426063,1.47520095796734e-08,2.84427235061329e-08
"P-hsa05161-207","DOWN",-5.6578459716486,1.53404495985567e-08,2.95165984070691e-08
"P-hsa05161-219","DOWN",-5.6578459716486,1.53404495985567e-08,2.95165984070691e-08
"P-hsa04740-42","UP",5.65220852785449,1.58523032145691e-08,3.04702057689874e-08
"P-hsa05200-121 122","UP",5.6463026343559,1.64063139757766e-08,3.14705981784835e-08
"P-hsa05212-38 39","UP",5.6463026343559,1.64063139757766e-08,3.14705981784835e-08
"P-hsa05211-23","UP",5.64496038583349,1.653482352472e-08,3.16847077960926e-08
"P-hsa04727-17 37","UP",5.5578484567293,1.68623223865068e-08,3.22793028541702e-08
"P-hsa05164-34","DOWN",-5.6304641017915,1.79865276120838e-08,3.43962546383988e-08
"P-hsa05205-337","UP",5.62267906036154,1.88164708955931e-08,3.59467407333326e-08
"P-hsa04020-42","DOWN",-5.61543091834054,1.96225253403647e-08,3.74484817278985e-08
"P-hsa04971-49","DOWN",-5.61355177040918,1.98369148476913e-08,3.78191587949887e-08
"P-hsa04670-2","DOWN",-5.59153889464171,2.25239947660742e-08,4.28984915544723e-08
"P-hsa04210-57","DOWN",-5.5901966461193,2.26987999600357e-08,4.31875747718327e-08
"P-hsa04630-30","UP",5.58321695380278,2.36292273791098e-08,4.49122903375988e-08
"P-hsa04066-47","DOWN",-5.55502973483224,2.77777874757709e-08,5.27440580005529e-08
"P-hsa04340-46","UP",5.55100298926503,2.84253420820875e-08,5.39190513104107e-08
"P-hsa04064-52","DOWN",-5.54858694192469,2.88208803091895e-08,5.46141125858984e-08
"P-hsa04062-22 41","DOWN",-5.5426810484261,2.98103653260641e-08,5.6432134562761e-08
"P-hsa04520-64","UP",5.54107035019921,3.00858952328799e-08,5.68963099363737e-08
"P-hsa04933-43","DOWN",-5.53650670522303,3.08800482305538e-08,5.83393459018318e-08
"P-hsa05321-152","DOWN",-5.52711096556619,3.25796134056615e-08,6.14882844557555e-08
"P-hsa05220-15","DOWN",-5.52523181763482,3.29302512443369e-08,6.20875892807799e-08
"P-hsa05020-49","DOWN",-5.52415801881689,3.31322563824681e-08,6.24057359171788e-08
"P-hsa04919-40","UP",5.51932592413623,3.40562518567974e-08,6.40817738047662e-08
"P-hsa04062-38","DOWN",-5.51664142709141,3.45803324287131e-08,6.50027090543745e-08
"P-hsa04024-44 67","UP",5.51234623181971,3.54351714610712e-08,6.64763816609695e-08
"P-hsa04261-23","UP",5.51234623181971,3.54351714610712e-08,6.64763816609695e-08
"P-hsa04530-11 36 14","UP",5.51073553359282,3.57609910278166e-08,6.70205985696144e-08
"P-hsa04310-16","DOWN",-5.5067087880256,3.65883033526881e-08,6.85026517860708e-08
"P-hsa04213-2","UP",5.50590343891216,3.67559789977085e-08,6.87479726816562e-08
"P-hsa04914-23","UP",5.50295049216287,3.73771891356541e-08,6.98402458351465e-08
"P-hsa04925-18","UP",5.49570235014187,3.89454557932785e-08,7.26981841474531e-08
"P-hsa04390-88","UP",5.48630661048502,4.10736092925323e-08,7.65945238894539e-08
"P-hsa04810-30","UP",5.48603816078054,4.11360411397933e-08,7.66347697897242e-08
"P-hsa05162-58","DOWN",-5.47288412526096,4.43105257576285e-08,8.24668118266974e-08
"P-hsa04015-96","DOWN",-5.47207877614751,4.45124118768396e-08,8.27604407145204e-08
"P-hsa05132-48","UP",5.46993117851166,4.50551443347849e-08,8.36865849228283e-08
"P-hsa04921-57","UP",5.46590443294444,4.60901103417368e-08,8.55242799219567e-08
"P-hsa04022-45","UP",5.46187768737722,4.71481076813301e-08,8.74010375594617e-08
"P-hsa05205-91","UP",5.45731404240104,4.83756390606387e-08,8.95880541735028e-08
"P-hsa04360-59","DOWN",-5.45060279978901,5.02372795620067e-08,9.29439215565331e-08
"P-hsa05215-35","DOWN",-5.44791830274419,5.10012183224092e-08,9.42643207614185e-08
"P-hsa04530-11 43","UP",5.44281775835905,5.24838400209885e-08,9.69091376765496e-08
"P-hsa05205-17","UP",5.43718031456494,5.41711292204392e-08,9.99262914626784e-08
"P-hsa03320-40","UP",5.43530116663357,5.47451525882537e-08,1.00885958993678e-07
"P-hsa05200-192","DOWN",-5.42456317845432,5.8140108981202e-08,1.0703713881132e-07
"P-hsa05231-48","UP",5.4205364328871,5.9465094495741e-08,1.09369134582363e-07
"P-hsa04270-17","UP",5.41570433820643,6.10937255646998e-08,1.12254484974904e-07
"P-hsa04020-22","DOWN",-5.41288561630938,6.20634645076185e-08,1.13924715671519e-07
"P-hsa05100-24","DOWN",-5.41033534411681,6.2954008176461e-08,1.15446450966804e-07
"P-hsa04014-26","DOWN",-5.40013425534652,6.66408856430778e-08,1.22088185025795e-07
"P-hsa04340-40","DOWN",-5.39691285889274,6.78480120072184e-08,1.24178410268821e-07
"P-hsa05134-69","DOWN",-5.39664440918826,6.79495565376961e-08,1.24243048796021e-07
"P-hsa04218-63","UP",5.39557061037033,6.83572088549313e-08,1.24866722309495e-07
"P-hsa05200-129 130","UP",5.38966471687174,7.0641993891686e-08,1.28789485462394e-07
"P-hsa05220-12 13","UP",5.38966471687174,7.0641993891686e-08,1.28789485462394e-07
"P-hsa04064-53","DOWN",-5.38724866953141,7.15978473984047e-08,1.3040539972758e-07
"P-hsa04724-68","DOWN",-5.37919517839697,7.48753571190957e-08,1.3624264787141e-07
"P-hsa05164-47","DOWN",-5.37865827898801,7.5098949775394e-08,1.36517083118836e-07
"P-hsa04620-66","DOWN",-5.37758448017008,7.55480767157725e-08,1.37200573009476e-07
"P-hsa05215-25","DOWN",-5.3730208351939,7.74860586863082e-08,1.40583990421194e-07
"P-hsa04623-17","DOWN",-5.37248393578494,7.77171972437786e-08,1.40867113071815e-07
"P-hsa04932-58","DOWN",-5.36281974642361,8.19936846869618e-08,1.48475050649363e-07
"P-hsa04510-42","DOWN",-5.35422935588021,8.5985616064805e-08,1.55553534944623e-07
"P-hsa04610-11","DOWN",-5.35342400676676,8.63693634013722e-08,1.5609723096433e-07
"P-hsa04930-13","DOWN",-5.34886036179058,8.85754534395626e-08,1.59776491012134e-07
"P-hsa05010-61","DOWN",-5.34886036179058,8.85754534395626e-08,1.59776491012134e-07
"P-hsa04390-14","UP",5.33543787656651,9.53847964912644e-08,1.71894215386755e-07
"P-hsa05223-21","UP",5.3053715096646,1.12526523558844e-07,2.0259093876813e-07
"P-hsa04931-104","DOWN",-5.29490197118983,1.19167769157162e-07,2.14342027745768e-07
"P-hsa05169-60","DOWN",-5.29141212503157,1.21464634423419e-07,2.18264036569286e-07
"P-hsa04621-6","UP",5.27503669305821,1.32826709677019e-07,2.38224576820352e-07
"P-hsa05168-9","UP",5.27503669305821,1.32826709677019e-07,2.38224576820352e-07
"P-hsa04114-59","UP",5.24309117822493,1.58023416284453e-07,2.83144153724578e-07
"P-hsa04920-10","DOWN",-5.23745373443083,1.62925501331181e-07,2.91649084443984e-07
"P-hsa04662-27","DOWN",-5.22966869300087,1.69937417043877e-07,3.03621518451726e-07
"P-hsa04725-61","UP",5.22966869300087,1.69937417043877e-07,3.03621518451726e-07
"P-hsa04066-51","DOWN",-5.22268900068435,1.76471331704874e-07,3.14995450312411e-07
"P-hsa04152-87","UP",5.21570930836784,1.8324781263124e-07,3.26780319863314e-07
"P-hsa05200-53","UP",5.21436705984543,1.84579511842311e-07,3.28842511126473e-07
"P-hsa04710-5","UP",5.21168256280062,1.87271032465897e-07,3.33321116609129e-07
"P-hsa03460-25 40","UP",5.20121302432585,1.98135068475344e-07,3.52323590957104e-07
"P-hsa04024-60","UP",5.19933387639448,2.00148453707792e-07,3.55566760564222e-07
"P-hsa04932-97","DOWN",-5.19530713082726,2.04529653747376e-07,3.63006272876138e-07
"P-hsa05205-158","UP",5.19503868112278,2.04825006203651e-07,3.63186873003828e-07
"P-hsa04024-31","UP",5.18295844442112,2.18550995439195e-07,3.86794025890499e-07
"P-hsa04024-32","UP",5.18295844442112,2.18550995439195e-07,3.86794025890499e-07
"P-hsa05032-30","DOWN",-5.18242154501215,2.19180685502843e-07,3.87542852029532e-07
"P-hsa05205-189","DOWN",-5.15933487042676,2.48006416154533e-07,4.38097962999909e-07
"P-hsa04950-30","DOWN",-5.15396587633713,2.55217080693278e-07,4.50411329614853e-07
"P-hsa05222-35","DOWN",-5.14993913076991,2.60757549786127e-07,4.59756732517646e-07
"P-hsa04916-9","DOWN",-5.14832843254302,2.63006113159191e-07,4.63285885715158e-07
"P-hsa05160-15 16","UP",5.14510703608925,2.67559558948557e-07,4.70864664716223e-07
"P-hsa04261-14 16","UP",5.14457013668028,2.6832583216381e-07,4.71770628996539e-07
"P-hsa04742-48","DOWN",-5.13490594731896,2.8248668967167e-07,4.96203211445742e-07
"P-hsa05205-195","UP",5.12980540293381,2.90248731655178e-07,5.09360730201229e-07
"P-hsa05200-80","DOWN",-5.12658400648004,2.95256763275879e-07,5.1766512888369e-07
"P-hsa04660-56","DOWN",-5.12363105973074,2.99920683058479e-07,5.25351261827924e-07
"P-hsa04066-56","UP",5.12121501239041,3.03789454057671e-07,5.31631544600924e-07
"P-hsa04152-54","DOWN",-5.12014121357248,3.0552433401131e-07,5.34169292269541e-07
"P-hsa03320-27","UP",5.11772516623215,3.09462860977915e-07,5.40551515078742e-07
"P-hsa04014-44","DOWN",-5.11530911889182,3.13450387514489e-07,5.47007373932261e-07
"P-hsa04370-16","UP",5.10376578159912,3.33196691672346e-07,5.80926573956618e-07
"P-hsa04920-43","UP",5.10296043248568,3.34618270288719e-07,5.82863393743396e-07
"P-hsa04620-87","DOWN",-5.0954438407602,3.48171760328938e-07,6.05909297195813e-07
"P-hsa04550-17","UP",5.09356469282883,3.51642050664543e-07,6.1138135963548e-07
"P-hsa04918-10","DOWN",-5.0753101129241,3.8713772389938e-07,6.72472564847442e-07
"P-hsa04360-123","DOWN",-5.07450476381066,3.88780814327044e-07,6.74701949747951e-07
"P-hsa05016-55","UP",5.0667197223807,4.05014883410789e-07,7.02225435562514e-07
"P-hsa04670-73","UP",5.05544483479248,4.29690853178378e-07,7.44321367093849e-07
"P-hsa05145-33","DOWN",-5.05007584070286,4.41945116698077e-07,7.64137363065063e-07
"P-hsa05169-125","DOWN",-5.05007584070286,4.41945116698077e-07,7.64137363065063e-07
"P-hsa04068-72","UP",5.0465859945446,4.50090443466315e-07,7.77504301973118e-07
"P-hsa03320-58","DOWN",-5.04443839690875,4.55174727954592e-07,7.85563743921633e-07
"P-hsa04919-101","UP",5.0436330477953,4.57095580829908e-07,7.88153777239805e-07
"P-hsa04660-35","UP",5.04282769868186,4.59024251648041e-07,7.90752521663658e-07
"P-hsa04912-43","UP",5.02725761582194,4.97892007263025e-07,8.5692239048205e-07
"P-hsa04915-3 11","DOWN",-5.02457311877713,5.04906524086793e-07,8.6740351573885e-07
"P-hsa04915-12 13","DOWN",-5.02457311877713,5.04906524086793e-07,8.6740351573885e-07
"P-hsa04024-34","UP",5.01866722527854,5.20675502036437e-07,8.93675427100052e-07
"P-hsa05223-7","DOWN",-5.01088218384858,5.42188874958998e-07,9.29749844079598e-07
"P-hsa04923-31","DOWN",-4.99638589980659,5.84553630417724e-07,1.00148183622251e-06
"P-hsa05142-84","DOWN",-4.99504365128418,5.88633865862845e-07,1.00755212806451e-06
"P-hsa05214-52","DOWN",-4.99396985246626,5.91917807910288e-07,1.01224959675451e-06
"P-hsa04722-85","DOWN",-4.98672171044526,6.14550852748946e-07,1.049997631837e-06
"P-hsa04550-62 63","UP",4.96873558024501,6.74375484361404e-07,1.15116324719017e-06
"P-hsa04722-53","UP",4.95584999442991,7.20644990860703e-07,1.22902727532244e-06
"P-hsa04270-10 3 71","UP",4.94564890565962,7.59429465834889e-07,1.2939960743926e-06
"P-hsa04014-103","DOWN",-4.92954192339074,8.24792917914691e-07,1.40409393285659e-06
"P-hsa04530-11 24 23","UP",4.92873657427729,8.28199451251299e-07,1.40861484183811e-06
"P-hsa05133-60","UP",4.925783627528,8.40806379615148e-07,1.42876156536052e-06
"P-hsa03460-48","DOWN",-4.92390447959663,8.4892497879246e-07,1.44125181919878e-06
"P-hsa04024-107 64","UP",4.91773013639356,8.76135333488153e-07,1.48610297072674e-06
"P-hsa04066-53","UP",4.90940819555464,9.14141940897377e-07,1.54916917897333e-06
"P-hsa05168-39 40","DOWN",-4.90860284644119,9.17903117046713e-07,1.554139212617e-06
"P-hsa04261-34","UP",4.90028090560227,9.57651313065286e-07,1.61997643220061e-06
"P-hsa04062-8 41","DOWN",-4.89598571033057,9.78809700334234e-07,1.65427657461894e-06
"P-hsa05222-44","DOWN",-4.88846911860509,1.01692432698901e-06,1.71714674836308e-06
"P-hsa05205-256","DOWN",-4.87773113042584,1.07386094658501e-06,1.81165749621717e-06
"P-hsa05169-103","UP",4.85034926056874,1.23327698392941e-06,2.07873101693762e-06
"P-hsa04390-18","DOWN",-4.84041662150293,1.29654755103442e-06,2.18341400874379e-06
