"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa04152-68","DOWN",-8.1501330280533,3.63927874349162e-16,1.15131314043681e-15
"P-hsa04550-69","UP",8.14422713455471,3.82135722290753e-16,1.2068798232617e-15
"P-hsa04068-96","DOWN",-8.13295224696649,4.19424028826656e-16,1.32241929088875e-15
"P-hsa05133-30","DOWN",-8.13160999844409,4.24095292163613e-16,1.33490397332037e-15
"P-hsa05032-37","UP",8.1299993002172,4.2976852471862e-16,1.35049539760826e-15
"P-hsa05030-37","UP",8.12758325287687,4.38418885354952e-16,1.37537429586269e-15
"P-hsa04962-22","UP",8.12731480317239,4.39390564700581e-16,1.37612136791033e-15
"P-hsa04726-72","UP",8.12704635346791,4.40364366311413e-16,1.37687258533368e-15
"P-hsa04921-41","DOWN",-8.11899286233347,4.70588261700777e-16,1.46892442421075e-15
"P-hsa04064-133","DOWN",-8.096979986566,5.64025095291549e-16,1.75765959928064e-15
"P-hsa05162-28 34","DOWN",-8.09295324099878,5.82994576437851e-16,1.81376090447331e-15
"P-hsa05200-213","DOWN",-8.08785269661363,6.07927221911381e-16,1.8881977952082e-15
"P-hsa04971-56","DOWN",-8.05966547764309,7.65875604021844e-16,2.37484732751236e-15
"P-hsa04152-103","DOWN",-8.04785369064591,8.43510224606238e-16,2.6112626755137e-15
"P-hsa04666-30 44","DOWN",-8.04141089773836,8.89072622587477e-16,2.74777634262621e-15
"P-hsa04727-8","UP",8.03899485039803,9.06776460614186e-16,2.79788263176351e-15
"P-hsa04360-131","UP",8.02476701606052,1.01830084613416e-15,3.13683479039029e-15
"P-hsa05030-69","UP",8.00329103970201,1.21269341510324e-15,3.72952925694045e-15
"P-hsa05162-44","DOWN",-8.00114344206616,1.23403549480308e-15,3.78895349959178e-15
"P-hsa05215-43","UP",7.99939851898703,1.2516203599631e-15,3.83666633217446e-15
"P-hsa04668-102","DOWN",-7.99604289768101,1.28621698478568e-15,3.93628558476008e-15
"P-hsa04152-53","UP",7.99470064915861,1.30030640598583e-15,3.97292315574823e-15
"P-hsa04014-63","DOWN",-7.99040545388691,1.34642199481109e-15,4.10713441018799e-15
"P-hsa04931-47","UP",7.94611125264749,1.92666130075174e-15,5.86755941592576e-15
"P-hsa04360-111","DOWN",-7.94262140648923,1.98166840518938e-15,6.02529972145101e-15
"P-hsa04520-73","DOWN",-7.93054116978757,2.1842892994626e-15,6.6306257698897e-15
"P-hsa05110-51","DOWN",-7.927990897595,2.22937678281365e-15,6.75656033046593e-15
"P-hsa04066-58","DOWN",-7.91389728810973,2.49723355015739e-15,7.55614538725042e-15
"P-hsa05215-46","UP",7.90476999815736,2.68718144607318e-15,8.11779773403105e-15
"P-hsa04211-62","UP",7.88758921707056,3.08411324542967e-15,9.30192355052421e-15
"P-hsa05321-19","DOWN",-7.88678386795711,3.10407284384622e-15,9.34709575450323e-15
"P-hsa04012-3","DOWN",-7.87953572593612,3.28952889911557e-15,9.889673421059e-15
"P-hsa04115-2","UP",7.85993889750898,3.84732929234335e-15,1.15481436038978e-14
"P-hsa04390-90","UP",7.85698595075968,3.93908683034663e-15,1.18046755490899e-14
"P-hsa05100-55","DOWN",-7.85644905135072,3.95599997079787e-15,1.18364528631847e-14
"P-hsa05200-186","UP",7.85269075548798,4.07641043891716e-15,1.21773025213513e-14
"P-hsa04014-104","DOWN",-7.82208748917711,5.20099199039723e-15,1.55120206263676e-14
"P-hsa05205-142","DOWN",-7.7949740690245,6.44902212738634e-15,1.92037547793282e-14
"P-hsa04068-58","DOWN",-7.79443716961553,6.47649968613066e-15,1.92550133299225e-14
"P-hsa04010-131","DOWN",-7.79148422286624,6.629698743813e-15,1.96792956382804e-14
"P-hsa05030-78","UP",7.77081359562118,7.80662779556773e-15,2.31362302440522e-14
"P-hsa04211-23","DOWN",-7.77054514591669,7.82319139670442e-15,2.31487493063367e-14
"P-hsa04210-72","DOWN",-7.76168630566881,8.3896253570994e-15,2.47857278266433e-14
"P-hsa04360-108","UP",7.76141785596433,8.40740563659734e-15,2.47992027897116e-14
"P-hsa04723-40","UP",7.73779428196997,1.01263142837723e-14,2.97292106359261e-14
"P-hsa04724-4","UP",7.73779428196997,1.01263142837723e-14,2.97292106359261e-14
"P-hsa05031-12","UP",7.73779428196997,1.01263142837723e-14,2.97292106359261e-14
"P-hsa04064-130","DOWN",-7.73564668433412,1.02987413046279e-14,3.01881854491906e-14
"P-hsa05218-8","DOWN",-7.72974079083553,1.07879469413746e-14,3.15728369142257e-14
"P-hsa03320-28","DOWN",-7.72866699201761,1.08793182543755e-14,3.1790655833658e-14
"P-hsa04066-44","DOWN",-7.72088195058765,1.15649247589348e-14,3.37415223137817e-14
"P-hsa05221-6","DOWN",-7.7187343529518,1.17614249438053e-14,3.42615422276068e-14
"P-hsa04024-59","UP",7.71739210442939,1.18859020227467e-14,3.45704685188725e-14
"P-hsa04151-35","UP",7.71604985590698,1.20116751957673e-14,3.48822022712995e-14
"P-hsa04380-48","DOWN",-7.71363380856665,1.22413754956737e-14,3.54943128746272e-14
"P-hsa05200-209","DOWN",-7.71068086181736,1.25279961646309e-14,3.6269322229703e-14
"P-hsa03320-41","DOWN",-7.70665411625014,1.29295093880224e-14,3.73740517903391e-14
